   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   1.750000000E+00   1.616645634E+02   1.196564124E-01   1.437887741E-01   4.787610397E-03  -1.727227675E-01   9.539503489E-02   2.847689502E+02  -7.602452474E+00  -5.564564551E+02   9.683136449E-01   2.490272501E-01   9.802380837E-03  -1.606322149E-02
   1.800000000E+00   1.615670454E+02   1.255245776E-01   1.363069441E-01   4.528355924E-03  -1.729115874E-01   9.529850838E-02   2.928451491E+02  -7.812381279E+00  -5.566255617E+02   9.683534190E-01   2.490912246E-01   5.021833136E-03  -1.483236280E-02
   1.850000000E+00   1.614854649E+02   1.328146740E-01   1.326778193E-01   4.128129768E-03  -1.725094926E-01   9.522580284E-02   3.009181585E+02  -8.021754856E+00  -5.567149681E+02   9.683716298E-01   2.491411338E-01   2.452534954E-04  -1.360227581E-02
   1.900000000E+00   1.614198274E+02   1.411216796E-01   1.338053388E-01   3.619932105E-03  -1.720303080E-01   9.518035388E-02   3.089879893E+02  -8.230606344E+00  -5.567246610E+02   9.683691588E-01   2.491740845E-01  -4.519211326E-03  -1.237031020E-02
   1.950000000E+00   1.613701243E+02   1.500181107E-01   1.371761796E-01   3.043584492E-03  -1.718518968E-01   9.516429805E-02   3.170546521E+02  -8.438934720E+00  -5.566546905E+02   9.683467005E-01   2.491879169E-01  -9.274874482E-03  -1.113671213E-02
   2.000000000E+00   1.613363385E+02   1.590670577E-01   1.396045384E-01   2.435881598E-03  -1.720137531E-01   9.517843197E-02   3.251181582E+02  -8.646723276E+00  -5.565051360E+02   9.683045722E-01   2.491813386E-01  -1.403018987E-02  -9.903019550E-03
   2.050000000E+00   1.613184504E+02   1.678363513E-01   1.395280083E-01   1.826448772E-03  -1.723002521E-01   9.522215211E-02   3.331785192E+02  -8.853962492E+00  -5.562760634E+02   9.682427715E-01   2.491538838E-01  -1.879112954E-02  -8.670126013E-03
   2.100000000E+00   1.613164410E+02   1.759125175E-01   1.375065005E-01   1.239571008E-03  -1.724630798E-01   9.529343554E-02   3.412357452E+02  -9.060660762E+00  -5.559675056E+02   9.681611589E-01   2.491057877E-01  -2.355763433E-02  -7.437396769E-03
   2.150000000E+00   1.613302902E+02   1.829134081E-01   1.351792484E-01   6.983132315E-04  -1.723933150E-01   9.538890553E-02   3.492898450E+02  -9.266839654E+00  -5.555794695E+02   9.680595743E-01   2.490378874E-01  -2.832512838E-02  -6.203088094E-03
   2.200000000E+00   1.613599738E+02   1.884990436E-01   1.338541510E-01   2.269773718E-04  -1.721474617E-01   9.550398649E-02   3.573408262E+02  -9.472521556E+00  -5.551119585E+02   9.679378092E-01   2.489515922E-01  -3.308847511E-02  -4.965390427E-03
   2.250000000E+00   1.614054610E+02   1.923806661E-01   1.337647829E-01  -1.496658368E-04  -1.718573998E-01   9.563311668E-02   3.653886967E+02  -9.677719997E+00  -5.545649888E+02   9.677954960E-01   2.488488915E-01  -3.784500767E-02  -3.723227229E-03
   2.300000000E+00   1.614667140E+02   1.943281052E-01   1.342644304E-01  -4.092775008E-04  -1.716200369E-01   9.576997486E-02   3.734334650E+02  -9.882437920E+00  -5.539385924E+02   9.676320389E-01   2.487323362E-01  -4.259495040E-02  -2.476378140E-03
   2.350000000E+00   1.615436894E+02   1.941754380E-01   1.345312986E-01  -5.347789098E-04  -1.714449857E-01   9.590769307E-02   3.814751403E+02  -1.008667234E+01  -5.532328083E+02   9.674466495E-01   2.486049562E-01  -4.733978643E-02  -1.225072056E-03
   2.400000000E+00   1.616363398E+02   1.918247981E-01   1.341625526E-01  -5.155680513E-04  -1.712758531E-01   9.603905512E-02   3.895137310E+02  -1.029042021E+01  -5.524476714E+02   9.672384607E-01   2.484701246E-01  -5.208028823E-02   3.050711550E-05
   2.450000000E+00   1.617446147E+02   1.872481658E-01   1.333053795E-01  -3.470363901E-04  -1.710478528E-01   9.615669771E-02   3.975492443E+02  -1.049368121E+01  -5.515832076E+02   9.670066360E-01   2.483314077E-01  -5.681560181E-02   1.290445673E-03
   2.500000000E+00   1.618684597E+02   1.804870363E-01   1.323866319E-01  -2.934601686E-05  -1.707326291E-01   9.625332752E-02   4.055816863E+02  -1.069645657E+01  -5.506394355E+02   9.667504160E-01   2.481924347E-01  -6.154364701E-02   2.554991144E-03
   2.550000000E+00   1.620078165E+02   1.716499649E-01   1.317448952E-01   4.334830381E-04  -1.703450872E-01   9.632195127E-02   4.136110624E+02  -1.089874600E+01  -5.496163728E+02   9.664691032E-01   2.480567964E-01  -6.626215522E-02   3.824284941E-03
   2.600000000E+00   1.621626217E+02   1.609080902E-01   1.314364420E-01   1.033750190E-03  -1.699198029E-01   9.635610064E-02   4.216373776E+02  -1.110054535E+01  -5.485140400E+02   9.661620313E-01   2.479279589E-01  -7.096946607E-02   5.098162001E-03
   2.650000000E+00   1.623328070E+02   1.484888396E-01   1.312871754E-01   1.759795179E-03  -1.694820851E-01   9.635003258E-02   4.296606376E+02  -1.130184640E+01  -5.473324616E+02   9.658285667E-01   2.478091740E-01  -7.566464198E-02   6.376129253E-03
   2.700000000E+00   1.625182998E+02   1.346680822E-01   1.310788842E-01   2.595835213E-03  -1.690343635E-01   9.629889402E-02   4.376808474E+02  -1.150263833E+01  -5.460716638E+02   9.654681509E-01   2.477033802E-01  -8.034704760E-02   7.657483940E-03
   2.750000000E+00   1.627190238E+02   1.197610158E-01   1.307051694E-01   3.522307451E-03  -1.685620187E-01   9.619885126E-02   4.456980118E+02  -1.170290959E+01  -5.447316718E+02   9.650803630E-01   2.476131036E-01  -8.501584681E-02   8.941455203E-03
   2.800000000E+00   1.629348988E+02   1.041120630E-01   1.302040287E-01   4.516712710E-03  -1.680486967E-01   9.604718862E-02   4.537121346E+02  -1.190264884E+01  -5.433125084E+02   9.646649659E-01   2.475403735E-01  -8.966978247E-02   1.022727569E-02
   2.850000000E+00   1.631658415E+02   8.808404147E-02   1.296844744E-01   5.554677073E-03  -1.674880227E-01   9.584237819E-02   4.617232187E+02  -1.210184500E+01  -5.418141949E+02   9.642219183E-01   2.474866638E-01  -9.430730289E-02   1.151416705E-02
   2.900000000E+00   1.634117645E+02   7.204689506E-02   1.292290771E-01   6.610930831E-03  -1.668850949E-01   9.558411792E-02   4.697312667E+02  -1.230048673E+01  -5.402367527E+02   9.637513616E-01   2.474528607E-01  -9.892685030E-02   1.280128663E-02
   2.950000000E+00   1.636725770E+02   5.636631750E-02   1.288446799E-01   7.660077577E-03  -1.662499686E-01   9.527333284E-02   4.777362807E+02  -1.249856212E+01  -5.385802043E+02   9.632536001E-01   2.474392512E-01  -1.035270775E-01   1.408769443E-02
   3.000000000E+00   1.639481845E+02   4.139263202E-02   1.284790597E-01   8.677214668E-03  -1.655899614E-01   9.491213698E-02   4.857382629E+02  -1.269605894E+01  -5.368445738E+02   9.627290920E-01   2.474455258E-01  -1.081068795E-01   1.537236848E-02
   3.050000000E+00   1.642384890E+02   2.745028833E-02   1.280719204E-01   9.638539440E-03  -1.649062664E-01   9.450375734E-02   4.937372149E+02  -1.289296537E+01  -5.350298861E+02   9.621784530E-01   2.474707938E-01  -1.126652856E-01   1.665425631E-02
   3.100000000E+00   1.645433891E+02   1.482829628E-02   1.275955440E-01   1.052202093E-02  -1.641957817E-01   9.405242472E-02   5.017331380E+02  -1.308927061E+01  -5.331361665E+02   9.616024597E-01   2.475136123E-01  -1.172013344E-01   1.793233041E-02
   3.150000000E+00   1.648627804E+02   3.771859499E-03   1.270612043E-01   1.130811200E-02  -1.634552931E-01   9.356323658E-02   5.097260330E+02  -1.328496540E+01  -5.311634403E+02   9.610020434E-01   2.475720339E-01  -1.217140282E-01   1.920562293E-02
   3.200000000E+00   1.651965554E+02  -5.524573011E-03   1.264978072E-01   1.198040884E-02  -1.626844578E-01   9.304199645E-02   5.177159003E+02  -1.348004205E+01  -5.291117331E+02   9.603782684E-01   2.476436720E-01  -1.262023764E-01   2.047323650E-02
   3.250000000E+00   1.655446032E+02  -1.292265084E-02   1.259258752E-01   1.252616933E-02  -1.618859454E-01   9.249503387E-02   5.257027397E+02  -1.367449446E+01  -5.269810711E+02   9.597323007E-01   2.477257815E-01  -1.306654752E-01   2.173434421E-02
   3.300000000E+00   1.659068100E+02  -1.834370341E-02   1.253459465E-01   1.293665464E-02  -1.610635205E-01   9.192900940E-02   5.336865513E+02  -1.386831800E+01  -5.247714819E+02   9.590653750E-01   2.478153493E-01  -1.351025610E-01   2.298819433E-02
   3.350000000E+00   1.662830592E+02  -2.177044294E-02   1.247447582E-01   1.320731076E-02  -1.602200014E-01   9.135071023E-02   5.416673344E+02  -1.406150962E+01  -5.224829937E+02   9.583787665E-01   2.479091911E-01  -1.395130102E-01   2.423412591E-02
   3.400000000E+00   1.666732309E+02  -2.324673427E-02   1.241094308E-01   1.333782558E-02  -1.593565148E-01   9.076684320E-02   5.496450886E+02  -1.425406793E+01  -5.201156361E+02   9.576737667E-01   2.480040497E-01  -1.438963028E-01   2.547159068E-02
   3.450000000E+00   1.670772028E+02  -2.287544624E-02   1.234374145E-01   1.333208277E-02  -1.584731416E-01   9.018383195E-02   5.576198131E+02  -1.444599327E+01  -5.176694392E+02   9.569516604E-01   2.480966942E-01  -1.482519841E-01   2.670017184E-02
   3.500000000E+00   1.674948502E+02  -2.081446487E-02   1.227366340E-01   1.319800929E-02  -1.575700658E-01   8.960762467E-02   5.655915067E+02  -1.463728764E+01  -5.151444337E+02   9.562137003E-01   2.481840176E-01  -1.525796482E-01   2.791959361E-02
   3.550000000E+00   1.679260456E+02  -1.727100354E-02   1.220187145E-01   1.294730106E-02  -1.566482668E-01   8.904351821E-02   5.735601681E+02  -1.482795452E+01  -5.125406510E+02   9.554610794E-01   2.482631309E-01  -1.568789433E-01   2.912972125E-02
   3.600000000E+00   1.683706594E+02  -1.249439096E-02   1.212920553E-01   1.259501848E-02  -1.557094085E-01   8.849600379E-02   5.815257958E+02  -1.501799855E+01  -5.098581233E+02   9.546949045E-01   2.483314494E-01  -1.611495825E-01   3.033055573E-02
   3.650000000E+00   1.688285601E+02  -6.767559567E-03   1.205595253E-01   1.215906180E-02  -1.547552417E-01   8.796863886E-02   5.894883883E+02  -1.520742534E+01  -5.070968835E+02   9.539161734E-01   2.483867683E-01  -1.653913438E-01   3.152222712E-02
   3.700000000E+00   1.692996140E+02  -3.974976175E-04   1.198208652E-01   1.165955154E-02  -1.537870804E-01   8.746394945E-02   5.974479436E+02  -1.539624118E+01  -5.042569651E+02   9.531257587E-01   2.484273255E-01  -1.696040559E-01   3.270498789E-02
